string,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,prefix,word,sep,full_count
extra labour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,0,0.0,0.0,0,1,0,0.0,6,2,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,1,0,0,2.0,0,0,0,1,0.0,1.0,1.0,1,0.0,0.0,0,0,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,3,0,2,2.0,0.0,0.0,0,0.0,1,2.0,0,1,1,0,0.0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,extra,labour,ESPACE,48.0
extra large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2.0,1.0,1.0,0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0,0,1.0,5.0,0,0,2,1,0,0,0.0,0,0,6,0,0.0,0.0,0.0,1,0.0,2.0,0,0,0.0,0,2.0,0.0,0,1.0,2.0,2,3.0,0,0,0,1.0,0.0,2.0,0,2.0,0,1.0,2,0,1,0,1.0,0,0,3,0,0.0,3,4.0,6,5,5,7,2,1,1,2,2,0,3,3,1,1,0,2,0,2,4,2,5,2,4,2,10,11,3,2,8,13,4,extra,large,ESPACE,180.0
extra limites,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,9,2.0,7.0,5.0,4.0,2,6.0,0.0,0.0,0.0,0,2.0,3,3,5,6,1,1.0,0.0,2.0,0,0,0,4,0.0,4,0,0.0,2.0,2,0,0,1.0,0,0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,1.0,0.0,0,0.0,2.0,1,0.0,0,1,0,0.0,1.0,1.0,0,0.0,1,2.0,0,1,0,0,0.0,0,5,0,0,0.0,0,0.0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,extra,limites,ESPACE,178.0
extra linguistique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,6.0,0,0,2,1,3.0,0,0,1,20,4.0,2,5.0,8,1,9,2,7,9,8,9,3,15,5,0,3,3,2,2,3,0,13,5,3,9,8,10,7,12,7,10,3,14,6,extra,linguistique,ESPACE,240.0
extra linguistiques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0,4,0,0,0.0,0.0,1.0,0,0.0,1,1.0,0,0,2,2,1.0,2,3,4,4,1.0,0,0.0,5,3,0,0,1,3,1,12,0,6,2,1,1,2,2,0,2,4,1,1,1,7,4,4,5,2,2,4,6,2,2,extra,linguistiques,ESPACE,114.0
extra littéraire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,0,0,0.0,2,0,2,1,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,1.0,0.0,0,0.0,0,0,0,1.0,0.0,0.0,0,1.0,1,0.0,1,0,0,2,0.0,0,0,1,0,3.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,1,4,1,3,0,1,2,3,1,0,extra,littéraire,ESPACE,44.0
extra littéraires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,5,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,0,0,1,0.0,0,1,0,0,4.0,0,0.0,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,2,0,4,1,4,0,4,1,1,1,1,extra,littéraires,ESPACE,42.0
extra long,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0,0,0.0,0.0,5.0,1,2,1,0,0.0,0,0,0.0,0.0,3,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,0,0.0,1.0,0,0.0,0.0,0,1.0,0,0,2,5.0,0.0,0.0,1,2.0,1,0.0,18,2,3,1,1.0,0,3,5,0,0.0,0,7.0,0,1,1,2,0,0,0,5,2,0,1,0,0,0,1,0,0,0,0,0,1,3,0,1,1,0,2,1,0,0,1,extra,long,ESPACE,95.0
extra longue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,1,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,0,0,1,0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,2.0,2.0,1.0,1,1.0,0,0.0,4,0,0,3,0.0,2,0,1,4,2.0,2,0.0,4,0,0,2,2,3,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,11,1,0,0,2,0,2,3,0,extra,longue,ESPACE,70.0
extra lourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,2,0,0.0,0.0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,0,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1.0,0,4.0,0.0,0,1.0,0.0,1,0.0,4,2,2,7.0,8.0,7.0,8,7.0,7,1.0,0,0,0,0,2.0,2,9,9,1,5.0,0,2.0,3,5,0,0,0,2,4,0,0,0,0,0,0,0,0,3,0,0,1,1,1,3,0,0,1,3,2,1,14,15,7,extra,lourd,ESPACE,169.0
extra lourds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,1,1.0,0.0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0,0,0,0.0,0.0,0,1,1,0,0,0,1.0,1,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0,1.0,0,1,0,0.0,1.0,0.0,0,0.0,0,1.0,1,0,1,0,3.0,0,5,0,2,1.0,0,0.0,3,1,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,1,2,4,1,1,3,4,4,3,extra,lourds,ESPACE,68.0
extra lucide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,0,0.0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,2.0,0.0,0,1,0,0.0,0,0,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.0,0,1,1,0,0,2,0.0,0,1,0,0,1.0,0.0,1.0,0,0.0,2.0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,3,0,0,0.0,0.0,3.0,3,0.0,6,0.0,0,0,0,1,0.0,1,2,1,0,0.0,0,1.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,6,0,3,0,1,6,3,6,5,3,1,2,3,1,extra,lucide,ESPACE,96.0
extra lucides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,0.0,1,0,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0.0,3.0,1.0,0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,0,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,2,0.0,0,0.0,0,0,2,2,0.0,0,0,0,0,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,extra,lucides,ESPACE,42.0
extra légal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,5,0.0,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0,6,1.0,1.0,3.0,6,1,0,1,0.0,0,0,0.0,0.0,1,0,2,3.0,0,0,5,3.0,4.0,4.0,0.0,2,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,2.0,1,0,0,1.0,1.0,0,0,0,1,0,1,1.0,0,0,1,4,0.0,1.0,2.0,0,0.0,0.0,0,0,2.0,2,0.0,1.0,2,6.0,1.0,0,2.0,1,0,0,0.0,5.0,1.0,0,0.0,0,0.0,0,6,0,0,0.0,0,1,0,3,1.0,2,1.0,0,2,0,1,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,5,4,1,4,8,0,11,1,1,2,extra,légal,ESPACE,188.0
extra légale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,3.0,1.0,6.0,0.0,2,0.0,1.0,5.0,2.0,1,1.0,1.0,0.0,3.0,2,0.0,0,1,0,2,1,0.0,0.0,3.0,2,2,4,3,2.0,1,0,2.0,0.0,2,5,0,4.0,0,3,2,1.0,4.0,5.0,4.0,0,5.0,0.0,3.0,0.0,1.0,5.0,2.0,3.0,0.0,3,2.0,0.0,2.0,5.0,2,2,0,4.0,0.0,5,3,2,7,2,2,0.0,1,1,1,4,3.0,1.0,0.0,2,0.0,2.0,1,1,3.0,0,1.0,0.0,0,1.0,2.0,0,1.0,0,1,2,1.0,2.0,3.0,0,0.0,0,0.0,2,0,2,4,2.0,0,0,2,0,1.0,0,2.0,0,0,1,2,1,0,2,4,0,1,3,0,0,0,0,1,1,7,0,7,1,1,6,2,5,5,1,5,0,5,4,extra,légale,ESPACE,289.0
extra légales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,0,0.0,0.0,6.0,0.0,1,0.0,0.0,0.0,1.0,0,0.0,3,5,0,1,0,0.0,0.0,1.0,0,0,2,2,1.0,1,4,0.0,0.0,1,0,0,0.0,0,2,1,1.0,0.0,0.0,1.0,0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0,0.0,1.0,1.0,5.0,0,0,0,0.0,3.0,2,1,0,0,0,2,0.0,0,0,0,1,0.0,0.0,0.0,0,0.0,2.0,0,0,1.0,1,1.0,0.0,0,1.0,0.0,0,0.0,6,3,3,7.0,1.0,4.0,4,3.0,0,2.0,6,0,3,3,0.0,2,2,4,0,0.0,1,0.0,3,0,1,2,3,4,5,1,1,1,6,1,2,2,1,6,0,3,4,3,2,8,21,1,5,18,5,6,0,4,1,extra,légales,ESPACE,287.0
extra légaux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,0.0,4,0,0,4,0,0.0,0.0,0.0,0,0,0,0,0.0,2,8,0.0,0.0,0,0,0,9.0,0,0,0,1.0,0.0,0.0,0.0,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,2,1,0,0.0,1.0,1,0,0,0,0,0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,1.0,2.0,0,0.0,0.0,1,2.0,4,0,0,1.0,0.0,1.0,1,0.0,4,1.0,1,0,0,4,4.0,0,2,0,2,0.0,0,2.0,0,2,2,1,2,2,1,0,0,0,1,2,0,0,0,3,0,1,1,1,1,3,2,1,3,0,0,0,0,1,3,extra,légaux,ESPACE,127.0
extra léger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0,5,0.0,0.0,0,0,1,0.0,1,0,2,4.0,6.0,8.0,9.0,5,2.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0,2.0,5.0,1.0,5.0,4,2,1,1.0,4.0,4,1,2,2,1,0,0.0,0,4,5,2,0.0,0.0,3.0,0,0.0,0.0,2,1,2.0,5,2.0,1.0,1,0.0,2.0,0,3.0,2,3,0,0.0,0.0,12.0,12,1.0,0,4.0,1,6,0,8,3.0,7,4,0,0,1.0,0,0.0,5,0,0,1,1,0,1,1,1,0,0,0,0,2,0,1,0,0,1,0,0,5,2,0,1,2,3,0,0,0,0,extra,léger,ESPACE,213.0
extra légers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,2,0,0,0,0.0,0,0,0.0,0.0,1,0,2,0.0,0,0,0,0.0,0.0,0.0,1.0,2,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,3.0,0.0,1.0,0,1,2,2.0,1.0,2,1,0,3,0,0,2.0,1,2,2,1,0.0,0.0,2.0,1,2.0,0.0,1,0,3.0,0,0.0,0.0,2,0.0,0.0,1,1.0,1,0,0,0.0,0.0,0.0,1,1.0,0,5.0,0,0,1,1,0.0,0,1,0,0,0.0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,extra,légers,ESPACE,71.0
